-59	0.0813298	0.115968	5.06848	0.412219	0.33416	2.86536	0.312547	0.104441	0.0518573	0.0831727	7.40576	0.384043
-58	0.0857489	0.114527	4.9931	0.428153	0.356461	2.71039	0.326067	0.11623	0.0493282	0.091123	7.11991	0.351212
-57	0.0903331	0.113105	4.91551	0.444033	0.379978	2.56381	0.339698	0.129078	0.0469224	0.0997505	6.81789	0.319912
-56	0.0950833	0.1117	4.83599	0.459822	0.404753	2.42515	0.353369	0.143027	0.044634	0.109097	6.50488	0.290339
-55	-nan	0.110312	-nan	-nan	0.430825	2.29399	0.366997	0.158112	0.0424571	0.119203	6.18582	0.262632
-54	0.105083	0.108942	4.67235	0.490986	0.458235	2.16993	0.380494	0.174356	0.0403865	0.130108	5.86528	0.236878
-53	0.110333	0.107588	4.58881	0.506297	0.48702	2.05257	0.393764	0.191771	0.0384168	0.141851	5.5473	0.21311
-52	0.115749	0.106252	4.50449	0.521389	0.517215	1.94157	0.406706	0.210354	0.0365432	0.154465	5.23537	0.191317
-51	0.12133	0.104932	4.41966	0.536236	0.548857	1.83656	0.419214	0.230088	0.034761	0.167982	4.93236	0.171454
-50	0.127075	0.103629	4.33457	0.550814	0.581977	1.73723	0.431181	0.250937	0.0330657	0.182426	4.64056	0.153443
-49	0.132982	0.102341	4.24947	0.565104	0.616606	1.64328	0.4425	0.272848	0.031453	0.197816	4.36169	0.137188
-48	0.13905	0.10107	4.16458	0.579086	0.652773	1.55441	0.453067	0.29575	0.029919	0.214165	4.09695	0.122577
-47	0.145277	0.0998145	4.0801	0.592746	0.690504	1.47034	0.462782	0.319553	0.0284599	0.231475	3.84711	0.109488
-46	0.151661	0.0985746	3.99624	0.606072	0.729822	1.39082	0.471555	0.344151	0.0270719	0.24974	3.61256	0.0977988
-45	0.158198	0.0973501	3.91316	0.619053	0.770747	1.3156	0.479306	0.369424	0.0257516	0.268941	3.39336	0.0873844
-44	0.164886	0.0961408	3.83103	0.631682	0.813298	1.24445	0.485968	0.395237	0.0244956	0.28905	3.18932	0.0781245
-43	0.171722	0.0949465	3.74998	0.643952	0.857489	1.17715	0.491488	0.421446	0.023301	0.310026	3.00006	0.0699044
-42	0.178702	0.0937671	3.67014	0.655862	0.903331	1.11348	0.495831	0.4479	0.0221646	0.331812	2.82504	0.0626159
-41	0.185824	0.0926023	3.59162	0.667408	0.950833	1.05326	0.498978	0.474445	0.0210836	0.354344	2.66363	0.0561589
