9e-05	-64.0623	0	-61.3349	0.483892	0.153568	0.248058	40.4543	-104.043	6.80591	104.043	-56.7828	-0.189276	0.0548268	0.000898363
9.25e-05	-64.0382	0	-61.4751	0.483839	0.152909	0.248127	40.0077	-103.064	6.94787	103.064	-56.1088	-0.187029	0.0548028	0.000887102
9.5e-05	-64.0141	0	-61.6138	0.483785	0.152241	0.248198	39.5559	-102.097	7.08814	102.097	-55.4526	-0.184842	0.0547784	0.000875777
9.75e-05	-63.99	0	-61.7508	0.48373	0.151564	0.24827	39.0995	-101.14	7.22677	101.14	-54.8137	-0.182712	0.0547536	0.000864396
0.0001	-63.9661	0	-61.8863	0.483674	0.150878	0.248343	38.6388	-100.194	7.3638	100.194	-54.1912	-0.180637	0.0547284	0.000852969
0.0001025	-63.9421	0	-62.0202	0.483618	0.150184	0.248417	38.1742	-99.2579	7.49928	99.2579	-53.5844	-0.178615	0.0547028	0.000841503
0.000105	-63.9183	0	-62.1527	0.48356	0.149482	0.248493	37.7062	-98.3321	7.63324	98.3321	-52.9927	-0.176642	0.0546768	0.000830007
0.0001075	-63.8945	0	-62.2838	0.483502	0.148772	0.248569	37.235	-97.4161	7.76573	97.4161	-52.4154	-0.174718	0.0546504	0.000818487
0.00011	-63.8707	0	-62.4134	0.483443	0.148054	0.248647	36.7611	-96.5098	7.89676	96.5098	-51.8519	-0.17284	0.0546237	0.000806952
0.0001125	-63.8471	0	-62.5416	0.483383	0.147329	0.248726	36.2849	-95.6129	8.02639	95.6129	-51.3016	-0.171005	0.0545966	0.000795409
0.000115	-63.8234	0	-62.6686	0.483322	0.146597	0.248807	35.8066	-94.7252	8.15465	94.7252	-50.7639	-0.169213	0.0545691	0.000783864
0.0001175	-63.7999	0	-62.7942	0.483261	0.145859	0.248888	35.3267	-93.8465	8.28156	93.8465	-50.2382	-0.167461	0.0545413	0.000772325
0.00012	-63.7764	0	-62.9185	0.483198	0.145113	0.24897	34.8455	-92.9766	8.40715	92.9766	-49.724	-0.165747	0.0545131	0.000760798
0.0001225	-63.7529	0	-63.0415	0.483135	0.144362	0.249054	34.3633	-92.1154	8.53146	92.1154	-49.2207	-0.164069	0.0544846	0.00074929
0.000125	-63.7296	0	-63.1633	0.483071	0.143604	0.249139	33.8803	-91.2627	8.65451	91.2627	-48.7279	-0.162426	0.0544558	0.000737806
0.0001275	-63.7062	0	-63.2839	0.483006	0.142841	0.249225	33.397	-90.4183	8.77633	90.4183	-48.245	-0.160817	0.0544266	0.000726352
0.00013	-63.683	0	-63.4034	0.482941	0.142072	0.249311	32.9136	-89.5821	8.89695	89.5821	-47.7716	-0.159239	0.0543971	0.000714934
